,ticker,abstract,title,url,date,neg,neu,pos,compound
0,AFL,"Aflac Chairman and CEO Dan Amos discusses negative interest rates and his outlook for Japan. 00:00THE stock. Aflac CEO joins us now, dan amos , great to have you.",What Is the Impact of Negative Rates on Aflac? - Bloomberg,https://www.bloomberg.com/news/videos/2016-05-24/what-is-the-impact-of-negative-rates-on-aflac,5/24/16,0.291,0.709,0,-0.5719
3,AFL,"Aflac Inc. Chief Executive Officer Dan Amos, who hired dozens of Wall Street professionals to improve investment returns, lamented that they're now buying some of the lowest-yielding debt: Japan...",Aflac's Amos Laments Wall Street Staff Buying Japan Bonds,https://www.bloomberg.com/news/articles/2013-10-30/aflac-s-amos-laments-wall-street-staff-buying-japan-bonds,10/30/13,0.238,0.762,0,-0.3612
6,AFL,"Dan Amos, chief executive officer of Aflac Inc., said the decision to fire comedian Gilbert Gottfried as voice of the insurer's duck mascot in the U.S. shows the importance of quick action to protect the...",Aflac Says Firing Gottfried as Duck Shows Decisiveness - Bloomberg,https://www.bloomberg.com/news/articles/2012-11-29/amos-says-firing-gottfried-as-duck-voice-highlights-decisiveness,11/29/12,0.231,0.769,0,-0.34
12,ANAT,"A digital currency could fundamentally change the way Americans use money, leading some financial firms to lobby the Fed and Congress to slow its creation -- or at least ensure they're not cut out.",Federal Reserve's Digital Dollar Push Worries Wall Street - Bloomberg,https://www.bloomberg.com/news/articles/2021-03-22/federal-reserve-s-digital-dollar-momentum-worries-wall-street,3/22/21,0.259,0.741,0,-0.4215
13,ANAT,Check fraud dwarfs other forms of bank fraud (table). With Americans writing some 60 billion The amounts of money involved in check frauds are rising as well. Rasor tells the story of a case dubbed...,"Bank Fraud, The Old Fashioned Way - Bloomberg",https://www.bloomberg.com/news/articles/1995-09-03/bank-fraud-the-old-fashioned-way,9/3/95,0.388,0.612,0,-0.5859
14,ANAT,"Could an American company loot its pension funds, as Robert Maxwell is alleged to have done in Britain? The government has erected legal barriers, but they don't keep companies from trying.",Pension Fraud: Can It Happen Here? You Bet - Bloomberg,https://www.bloomberg.com/news/articles/1991-12-22/pension-fraud-can-it-happen-here-you-bet,12/22/91,0.322,0.678,0,-0.5859
16,ANAT,"Hello, Fraud Suits. New federal legislation isn't stopping class actions. The legislation was supposed to put an end, once and for all, to the plague of shareholder lawsuits pestering American companies.","Bye, Fraud Suits. Hello, Fraud Suits - Bloomberg",https://www.bloomberg.com/news/articles/1996-06-23/bye-fraud-suits-dot-hello-fraud-suits,6/23/96,0.603,0.397,0,-0.8225
20,AON,"Kurniawan, whose family gained wealth operating a beer distributorship in Indonesia, was convicted of mail and wire fraud in 2013 in a New York federal court and spent seven years in prison.","""Sour Grapes"" Wine Fraud Con Man Deported to Indonesia - Bloomberg",https://www.bloomberg.com/news/articles/2021-04-14/-sour-grapes-wine-fraud-con-man-deported-to-indonesia,4/14/21,0.297,0.703,0,-0.5859
21,AON,"Aon Plc said it's no longer pursuing a combination with rival insurance brokerage Willis Towers Watson Plc, a day after confirming that it was considering a tie-up.",Aon Says It's No Longer Pursuing Willis Towers Acquisition - Bloomberg,https://www.bloomberg.com/news/articles/2019-03-06/aon-opts-against-willis-takeover-after-weighing-24-billion-deal,3/6/19,0.196,0.804,0,-0.296
23,AON,"Theranos, which attracted the backing of high-profile investors and leading venture capital firms, was valued at $9 billion before unraveling over the alleged fraud. Elizabeth Holmes leaves federal court in...",Ex-Theranos CEO Elizabeth Holmes's Fraud Trial Is Postponed for Virus,https://origin.www.bloomberg.com/news/articles/2020-07-20/elizabeth-holmes-criminal-fraud-trial-is-postponed,7/20/20,0.412,0.588,0,-0.6808
25,AON,"I also learned that I and other phone customers indirectly pay for $2 billion in annual fraud as AT&T, MCI Communications, and other companies pass losses on. So I checked into what else I might do to...",How To Foil Phone Card Fraud - Bloomberg,https://www.bloomberg.com/news/articles/1994-11-20/how-to-foil-phone-card-fraud,11/20/94,0.388,0.612,0,-0.5859
26,AON,Denmark charged six more people with fraud as prosecutors move closer to completing a years-long hunt to track down a total of $2.1 billion allegedly stolen through a dividend-tax scam.,Denmark Charges 6 More People in $2.1 Billion Cum-Ex... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-13/denmark-charges-6-more-people-with-fraud-in-cum-ex-investigation,4/13/21,0.208,0.792,0,-0.2732
29,AON,"Pension Fraud: Can It Happen Here? You Bet. Mike Mcnamee. December 23, 1991, 12:00 AM EST.",Pension Fraud: Can It Happen Here? You Bet - Bloomberg,https://www.bloomberg.com/news/articles/1991-12-22/pension-fraud-can-it-happen-here-you-bet,12/22/91,0.322,0.678,0,-0.5859
30,ARCC,"Proponents of those revisions argue they are necessary to deter voter fraud. The bill, known as S 1 Significant portions of S. 1 are clearly intended to have precisely the opposite effect - pushing certain...",Chamber of Commerce Urges Senators to Reject Voting... - Bloomberg,https://www.bloomberg.com/news/articles/2021-04-14/chamber-of-commerce-urges-senators-to-reject-voting-rights-bill,4/14/21,0.252,0.748,0,-0.4019
35,ARCC,But charges of fraud are exceedingly difficult to prove. As would be making executives face direct liability for shareholder fraud. It's a worthy alternative for a system in need of serious reform.,Commentary: Punishment for Corporate Fraud? - Bloomberg,https://www.bloomberg.com/news/articles/2002-03-10/commentary-punishment-for-corporate-fraud-how-radical,3/10/02,0.636,0.364,0,-0.7906
36,ARCC,"...of a $1.5 billion fraud are planning to appoint a new manager for the private equity style operation, the Children's Investment Fund Foundation are negotiating to replace the management of Ireo with...",Hedge Funds Trapped in Ireo Saga to Pick Varde as... - Bloomberg,https://www.bloomberg.com/news/articles/2020-11-17/hedge-funds-trapped-in-ireo-india-saga-to-pick-varde-as-manager,11/17/20,0.254,0.746,0,-0.5267
